text	label
"林书豪新秀赛上甘心""跑龙套"" 自称仍是底薪球员"	6
成都现“真人图书馆”：无书“借人”给你读	4
中国经济走向更趋稳健务实	3
国际田联世界挑战赛 罗伯斯迎来赛季第三冠	6
德国一电视台合成“默克尔头巾照”惹争议	2
朴槿惠今访华 韩媒称访西安可能为增进与习近平友谊	2
中国驻休斯敦总领馆举办春节招待会向华裔拜年	2
NASA发现“地球兄弟” 具备生命存活条件	2
儿子去世后社交网站账号停用 父亲请求保留记忆	2
第六届鲁迅文学奖颁发 格非等35位获奖者领奖	4
东莞台商欲借“台博会”搭建内销平台	1
日本网友买扇贝当下酒菜 发现内有真正珍珠(图)	2
篮球热潮席卷张江 NBA中投王与拉拉队鼎力加盟	6
"UFC终极格斗冠军赛开打 ""草原狼""遭遇三连败"	6
水果style：心形水果惹人爱 骰子西瓜乐趣多(图)	2
同里杯中国天元赛前瞻：芈昱廷李钦诚争挑战权	6
桂纶镁为戏体验生活 东北洗衣店当店员	5
河南羲皇故都朝祖会流传6000年 一天游客80万人	4
辛柏青谈追求妻子：用1袋洗衣粉、2块肥皂打动她的	5
朝鲜谴责韩国前方部队打出反朝口号	2
朝媒称《阿里郎》演出展示金正恩时代新气派	2
西藏日喀则地区仲巴县发生5.0级地震	0
安倍新内阁现眉目 麻生太郎将出任副首相兼财相	2
一公司沿街叫卖奥运缶 按规定不能随便卖	4
湖北沙洋县严仓墓群抢救保护取得新进展(图)	4
TPP谈判有望达成早期共识	3
女子整形7年后肚脐消失 求偿千万败诉	1
中超预备队比赛 江苏两队友互殴吃到红牌	6
周杰伦昆凌台北婚宴时间确定 将邀请媒体同行(图)	5
专家：中国现在不宜立即申请加入TPP	3
第五届两岸青少年教育研讨会在西安举行	1
乌鲁木齐拟建“弃婴安全岛” 保障弃婴生命权益	0
"江苏男排客场逆转北京 卢卫中""倒轮次""倒晕对手"	6
日本动画导演芦田丰雄去世 曾执导《北斗神拳》	5
小罗减肥成功仍难获米兰信任 传球犀利动作迟缓	6
垃圾短信：治理初见效 治本需加力	3
花游姊妹花假期不误练功 文文婷婷街舞跳得欢	6
美军方威胁武力干预叙局势 或借鉴利比亚模式	2
格非：二三十年后文学的位置将变清晰	4
杨洁篪在第18届世界公共关系大会开幕式上的讲话	0
台南投强震已造成3死1失踪21伤 专家分析肇因	1
中国提供4轮总价值7.5亿元紧急援助埃博拉疫情	0
利用内幕交易赚4500万美元 美最大内幕交易案开审	3
阎连科自曝会偷偷去看烂电影 渴望了解年轻人	4
台北股市13日收盘涨8.35点 为7578.80点	1
2010中国文坛不给力 热点卖点多力量质量弱(图)	4
31省居民收入增速超CPI 感受落差源于统计方式	3
香港湿地公园将办观鸟节 重点推出“长腿水鸟”	1
